fruitID,year,month,day,plantID,prevplantID,og.plantposition,round,filled.seeds,shriv.seeds,total.seeds,virgin.ovules,abrt.ovules,total.ovules,notes,counter,observer,CHECK.row.sum,CHECK.total.ovules,Ratio CHECK Total/Total,Ratio  row sum/total
800001,2017,9,12,st14,st23,st23,2,7,1,8,1,0,9,,adr,adr,9,9,1,1
800002,2017,9,12,st17,na,st17,2,1,0,1,11,0,12,seed small yellow,adr,,12,12,1,1
800003,2017,9,12,st17,na,st17,2,5,0,5,8,0,13,,adr,,13,13,1,1
800004,2017,9,13,gr14,na,gr14,2,8,0,8,6,0,14,,adr,adr,14,14,1,1
800005,2017,9,13,gr14,na,gr14,2,9,0,9,2,0,11,,adr,adr,11,11,1,1
800006,2017,9,13,gr14,na,gr14,2,9,0,9,4,0,13,,adr,adr,13,13,1,1
800007,2017,9,12,st16,st25,st25,2,3,0,3,7,0,10,very small fruit/seeds not fully filled/op rd 1 &2,adr,adr,10,10,1,1
800008,2017,9,12,st16,st25,st25,2,3,0,3,7,0,10,very small fruit/seeds not fully filled/op rd 1 &2,adr,adr,10,10,1,1
800009,2017,9,12,st16,st25,st25,1,4,0,4,11,0,15,op rd 1 & 2,adr,,15,15,1,1
800010,2017,9,12,st28,na,st28,1,8,0,8,4,0,12,,adr,,12,12,1,1
800011,2017,9,12,st9,na,st9,2,6,0,6,8,0,14,,adr,,14,14,1,1
800012,2017,9,12,st9,na,st9,2,6,0,6,5,0,11,,adr,,11,11,1,1
800013,2017,9,12,st11,na,st11,1,12,0,12,1,0,13,,adr,,13,13,1,1
800014,2017,9,12,st11,na,st11,1,12,0,12,1,0,13,,adr,,13,13,1,1
800015,2017,9,12,st11,na,st11,2,7,0,7,3,0,10,,adr,,10,10,1,1
800016,2017,9,12,st4,na,st4,2,7,1,8,3,0,11,1 shriveled fruit damaged by herbivory,adr,,11,11,1,1
800017,2017,9,12,st1,na,st1,2,1,0,1,11,0,12,1 seed small yellow,adr,,12,12,1,1
800018,2017,9,12,st12,st16,st16,1,6,0,6,4,0,10,,adr,,10,10,1,1
