pollID,ID,site,observer,date,position,round,plantID,prevplantID,og.plantposition,plot,trmnt,prevtrmnt,flowers,wither_flow,frt_removed,notes
200001,1,braaten,adr,8/12/2017,1,1,br1,NA,br1,hi,op,NA,3,5,27,
200002,1,braaten,adr,8/20/2017,1,2,br1,NA,br1,hi,op,NA,1,1,17,
200003,1,braaten,kmf,8/31/2017,1,3,br1,NA,br1,hi,op,NA,2,2,6,
200004,1,braaten,kmf,9/6/2017,1,4,br1,NA,br1,hi,op,NA,1,3,5,
200005,2,braaten,adr,8/12/2017,2,1,br2,NA,br2,hi,hp,NA,3,3,29,
200006,3,braaten,adr,8/12/2017,3,1,br3,NA,br3,hi,hp,NA,6,7,7,
200007,3,braaten,adr,8/20/2017,3,2,br3,NA,br3,hi,hp,NA,3,7,24,has rd1 frt
200008,3,braaten,kmf,8/31/2017,3,3,br3,NA,br3,hi,hp,NA,3,4,22,possibly herbivory
200009,3,braaten,kmf,9/6/2017,3,4,br3,NA,br3,hi,hp,NA,0,3,8,
200010,4,braaten,adr,8/12/2017,4,1,br4,NA,br4,hi,op,NA,5,0,7,
200011,5,braaten,adr,8/12/2017,5,1,br5,NA,br5,hi,nt,NA,0,5,26,
200012,5,braaten,adr,8/20/2017,5,2,br5,NA,br5,hi,nt,NA,0,2,9,
200013,5,braaten,kmf,8/31/2017,5,3,br5,NA,br5,hi,op,nt,4,1,8,
200014,5,braaten,kmf,9/6/2017,5,4,br5,NA,br5,hi,op,nt,2,22,16,
200015,6,braaten,adr,8/12/2017,6,1,br6,NA,br6,hi,nt,NA,2,2,8,
200016,6,braaten,adr,8/20/2017,6,2,br6,NA,br6,hi,nt,NA,0,2,7,
200017,7,braaten,adr,8/12/2017,7,1,br7,NA,br7,hi,op,NA,8,5,20,
200018,7,braaten,adr,8/20/2017,7,2,br7,NA,br7,hi,op,NA,1,4,21,has rd1 frt
200019,7,braaten,kmf,8/31/2017,7,3,br7,NA,br7,hi,op,NA,3,1,18,
200020,7,braaten,kmf,9/6/2017,7,4,br7,NA,br7,hi,op,NA,0,3,1,
200021,8,braaten,adr,8/12/2017,8,1,br8,NA,br8,hi,op,NA,4,3,38,
200022,8,braaten,adr,8/20/2017,8,2,br8,NA,br8,hi,op,NA,0,2,2,has rd1 frt
200023,8,braaten,kmf,8/31/2017,8,3,br8,NA,br8,hi,op,NA,6,8,7,
200024,8,braaten,kmf,9/6/2017,8,4,br8,NA,br8,hi,op,NA,0,18,19,
200025,9,braaten,adr,8/12/2017,9,1,br9,NA,br9,hi,hp,NA,5,4,2,
200026,10,braaten,adr,8/12/2017,10,1,br10,NA,br10,hi,hp,NA,6,8,46,
200027,10,braaten,adr,8/20/2017,10,2,br10,NA,br10,hi,hp,NA,0,1,3,herbivory?
200028,10,braaten,kmf,8/31/2017,10,3,br10,NA,br10,hi,hp,NA,5,1,6,
200029,10,braaten,kmf,9/6/2017,10,4,br10,NA,br10,hi,hp,NA,3,10,4,
200030,11,braaten,adr,8/12/2017,11,1,br11,NA,br11,hi,hp,NA,3,11,25,
200031,11,braaten,adr,8/20/2017,11,2,br11,NA,br11,hi,hp,NA,0,7,27,herbivory?
200032,11,braaten,kmf,8/31/2017,11,3,br11,NA,br11,hi,hp,NA,7,1,28,
200033,11,braaten,kmf,9/6/2017,11,4,br11,NA,br11,hi,hp,NA,1,7,8,
200034,12,braaten,adr,8/12/2017,12,1,br12,NA,br12,hi,nt,NA,0,2,0,
200035,12,braaten,adr,8/20/2017,12,2,br12,NA,br12,hi,nt,NA,0,0,2,
200036,13,braaten,adr,8/12/2017,13,1,br13,NA,br13,hi,hp,NA,3,7,19,
200037,14,braaten,adr,8/12/2017,14,1,br14,NA,br14,hi,nt,NA,1,2,1,
200038,14,braaten,adr,8/20/2017,14,2,br14,NA,br14,hi,nt,NA,0,6,12,
