"","site","pollID","ID","observer","date","position","round","plant_position.x","prev_plant_position.x","orig_plant_position","plot","trmnt","prevtrmnt","flowers","wither_flow","frt_removed","fruitID","coll_year","coll_month","coll_day","plant_position.y","prev_plant_position.y","filled_seeds","shriv_seeds","total_seeds","nofert_ovules","abrt_ovules","total_ovules","seed_counter","CHECK_row_sum","CHECK_total_ovules","row_sum_to_total_ratio","state","county","region","ha","latitude","longitude","type","owner","prop.c","poll_ovules"
"1","braaten","200699","241","adr",2017-08-20,"2","2","br2","replace","br2","hi","hp","NA",3,5,4,"800110","2017","9","12","br2","NA",6,2,8,5,0,13,"mc",13,13,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,8
"2","braaten","200043","15","kmf",2017-08-31,"15","3","br15","NA","br15","hi","op","NA",3,3,2,"800427","2017","9","19","br15","NA",9,0,9,1,0,10,"mc",10,10,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,9
"3","braaten","200001","1","adr",2017-08-12,"1","1","br1","NA","br1","hi","op","NA",3,5,27,"800109","2017","9","12","br1","NA",12,0,12,1,0,13,"mc",13,13,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,12
"4","braaten","200006","3","adr",2017-08-12,"3","1","br3","NA","br3","hi","hp","NA",6,7,7,"800117","2017","9","12","br3","NA",9,0,9,5,0,14,"mc",14,14,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,9
"5","braaten","200001","1","adr",2017-08-12,"1","1","br1","NA","br1","hi","op","NA",3,5,27,"800107","2017","9","12","br1","NA",13,0,13,0,0,13,"mc",13,13,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,13
"6","braaten","200007","3","adr",2017-08-20,"3","2","br3","NA","br3","hi","hp","NA",3,7,24,"800120","2017","9","12","br3","NA",5,0,5,7,0,12,"mc",12,12,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,5
"7","braaten","200006","3","adr",2017-08-12,"3","1","br3","NA","br3","hi","hp","NA",6,7,7,"800116","2017","9","12","br3","NA",13,0,13,1,0,14,"mc",14,14,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,13
"8","braaten","200018","7","adr",2017-08-20,"7","2","br7","NA","br7","hi","op","NA",1,4,21,"800123","2017","9","12","br7","NA",13,0,13,1,0,14,"mc",14,14,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,13
"9","braaten","200028","10","kmf",2017-08-31,"10","3","br10","NA","br10","hi","hp","NA",5,1,6,"800503","2017","9","19","br10","NA",6,0,6,1,2,9,"mc",9,9,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,8
"10","braaten","200699","241","adr",2017-08-20,"2","2","br2","replace","br2","hi","hp","NA",3,5,4,"800426","2017","9","19","br2","NA",11,0,11,1,0,12,"mc",12,12,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,11
"11","braaten","200707","243","kmf",2017-08-31,"9","3","br9","replace","br9","hi","hp","NA",4,2,17,"800422","2017","9","19","br9","NA",10,0,10,0,0,10,"mc",10,10,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,10
"12","braaten","200017","7","adr",2017-08-12,"7","1","br7","NA","br7","hi","op","NA",8,5,20,"800126","2017","9","12","br7","NA",10,2,12,2,0,14,"mc",14,14,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,12
"13","braaten","200017","7","adr",2017-08-12,"7","1","br7","NA","br7","hi","op","NA",8,5,20,"800127","2017","9","12","br7","NA",13,0,13,0,0,13,"mc",13,13,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,13
"14","braaten","200017","7","adr",2017-08-12,"7","1","br7","NA","br7","hi","op","NA",8,5,20,"800124","2017","9","12","br7","NA",13,0,13,0,0,13,"mc",13,13,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,13
"15","braaten","200002","1","adr",2017-08-20,"1","2","br1","NA","br1","hi","op","NA",1,1,17,"800108","2017","9","12","br1","NA",0,12,12,0,0,12,"mc",12,12,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,12
"16","braaten","200021","8","adr",2017-08-12,"8","1","br8","NA","br8","hi","op","NA",4,3,38,"800113","2017","9","12","br8","NA",12,0,12,1,0,13,"mc",13,13,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,12
"17","braaten","200006","3","adr",2017-08-12,"3","1","br3","NA","br3","hi","hp","NA",6,7,7,"800115","2017","9","12","br3","NA",14,0,14,0,0,14,"mc",14,14,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,14
"18","braaten","200017","7","adr",2017-08-12,"7","1","br7","NA","br7","hi","op","NA",8,5,20,"800128","2017","9","12","br7","NA",8,4,12,1,0,13,"mc",13,13,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,12
"19","braaten","200026","10","adr",2017-08-12,"10","1","br10","NA","br10","hi","hp","NA",6,8,46,"800112","2017","9","12","br10","NA",9,0,9,2,0,11,"mc",11,11,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,9
"20","braaten","200006","3","adr",2017-08-12,"3","1","br3","NA","br3","hi","hp","NA",6,7,7,"800118","2017","9","12","br3","NA",11,0,11,1,1,13,"mc",13,13,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,12
"21","braaten","200006","3","adr",2017-08-12,"3","1","br3","NA","br3","hi","hp","NA",6,7,7,"800119","2017","9","12","br3","NA",10,3,13,2,0,15,"mc",15,15,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,13
"22","braaten","200707","243","kmf",2017-08-31,"9","3","br9","replace","br9","hi","hp","NA",4,2,17,"800423","2017","9","19","br9","NA",9,0,9,0,0,9,"mc",9,9,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,9
"23","braaten","200708","243","kmf",2017-09-06,"9","4","br9","NA","br9","hi","hp","NA",5,1,5,"800424","2017","9","19","br9","NA",0,1,1,4,0,5,"mc",5,5,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,1
"24","braaten","200708","243","kmf",2017-09-06,"9","4","br9","NA","br9","hi","hp","NA",5,1,5,"800425","2017","9","19","br9","NA",0,1,1,5,0,6,"mc",6,6,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,1
"25","braaten","200013","5","kmf",2017-08-31,"5","3","br5","NA","br5","hi","op","nt",4,1,8,"800492","2017","9","19","br5","NA",8,0,8,1,0,9,"mc",9,9,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,8
"26","braaten","200013","5","kmf",2017-08-31,"5","3","br5","NA","br5","hi","op","nt",4,1,8,"800493","2017","9","19","br5","NA",8,1,9,0,0,9,"mc",9,9,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,9
"27","braaten","200013","5","kmf",2017-08-31,"5","3","br5","NA","br5","hi","op","nt",4,1,8,"800494","2017","9","19","br5","NA",9,0,9,0,0,9,"mc",9,9,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,9
"28","braaten","200017","7","adr",2017-08-12,"7","1","br7","NA","br7","hi","op","NA",8,5,20,"800129","2017","9","12","br7","NA",11,2,13,1,0,14,"mc",14,14,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,13
"29","braaten","200023","8","kmf",2017-08-31,"8","3","br8","NA","br8","hi","op","NA",6,8,7,"800416","2017","9","19","br8","NA",9,0,9,0,0,9,"mc",9,9,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,9
"30","braaten","200017","7","adr",2017-08-12,"7","1","br7","NA","br7","hi","op","NA",8,5,20,"800130","2017","9","12","br7","NA",13,1,14,0,0,14,"mc",14,14,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,14
"31","braaten","200028","10","kmf",2017-08-31,"10","3","br10","NA","br10","hi","hp","NA",5,1,6,"800499","2017","9","19","br10","NA",3,0,3,1,1,5,"mc",5,5,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,4
"32","braaten","200028","10","kmf",2017-08-31,"10","3","br10","NA","br10","hi","hp","NA",5,1,6,"800500","2017","9","19","br10","NA",8,0,8,1,1,10,"mc",10,10,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,9
"33","braaten","200705","243","adr",2017-08-20,"9","2","br9","replace","br9","hi","hp","NA",3,1,17,"800133","2017","9","12","br9","NA",12,0,12,1,0,13,"mc",13,13,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,12
"34","braaten","200705","243","adr",2017-08-20,"9","2","br9","replace","br9","hi","hp","NA",3,1,17,"800134","2017","9","12","br9","NA",8,0,8,0,0,8,"mc",8,8,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,8
"35","braaten","200032","11","kmf",2017-08-31,"11","3","br11","NA","br11","hi","hp","NA",7,1,28,"800435","2017","9","19","br11","NA",8,0,8,2,0,10,"ar",10,10,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,8
"36","braaten","200008","3","kmf",2017-08-31,"3","3","br3","NA","br3","hi","hp","NA",3,4,22,"800490","2017","9","19","br3","NA",6,1,7,2,0,9,"mc",9,9,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,7
"37","braaten","200008","3","kmf",2017-08-31,"3","3","br3","NA","br3","hi","hp","NA",3,4,22,"800491","2017","9","19","br3","NA",11,0,11,0,0,11,"mc",11,11,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,11
"38","braaten","200017","7","adr",2017-08-12,"7","1","br7","NA","br7","hi","op","NA",8,5,20,"800125","2017","9","12","br7","NA",10,3,13,1,0,14,"mc",14,14,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,13
"39","braaten","200039","14","kmf",2017-08-31,"14","3","br14","NA","br14","hi","op","nt",3,4,18,"800505","2017","9","19","br14","NA",12,0,12,0,0,12,"mc",12,12,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,12
"40","braaten","200003","1","kmf",2017-08-31,"1","3","br1","NA","br1","hi","op","NA",2,2,6,"800498","2017","9","19","br1","NA",5,1,6,4,0,10,"mc",10,10,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,6
"41","braaten","200699","241","adr",2017-08-20,"2","2","br2","replace","br2","hi","hp","NA",3,5,4,"800111","2017","9","12","br2","NA",8,0,8,4,0,12,"mc",12,12,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,8
"42","braaten","200054","19","kmf",2017-09-06,"13","4","br13","br19","br19","hi","hp","hp",1,2,9,"800496","2017","9","19","br13","br19",6,0,6,1,0,7,"mc",7,7,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,6
"43","braaten","200003","1","kmf",2017-08-31,"1","3","br1","NA","br1","hi","op","NA",2,2,6,"800497","2017","9","19","br1","NA",11,0,11,0,0,11,"mc",11,11,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,11
"44","braaten","200028","10","kmf",2017-08-31,"10","3","br10","NA","br10","hi","hp","NA",5,1,6,"800502","2017","9","19","br10","NA",9,1,10,2,0,12,"mc",12,12,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,10
"45","braaten","200023","8","kmf",2017-08-31,"8","3","br8","NA","br8","hi","op","NA",6,8,7,"800417","2017","9","19","br8","NA",9,0,9,2,0,11,"mc",11,11,1,"MN","Pope","Southeast",60.78,45.52294733,-95.43028883,"restoration","Braaten",21.28,9
