,plot,pollID,uniqueID,observer,plantposition,og.plantposition,trmnt,prevtrmnt,flowers,wither_flow,frt_removed,notes.x,eventID
200001,hi,200258,91,kmf,ne1,ne1,hp,NA,3,6,7,,100001
200002,hi,200262,92,kmf,ne2,ne2,op,NA,8,6,8,,100001
200003,hi,200266,93,kmf,ne3,ne3,hp,NA,7,3,8,,100001
200004,hi,200270,94,kmf,ne4,ne4,nt,NA,1,2,3,,100001
200005,hi,200274,95,kmf,ne5,ne5,hp,NA,3,5,0,,100001
200006,hi,200278,96,kmf,ne6,ne6,hp,NA,6,3,0,,100001
200007,hi,200282,97,kmf,ne7,ne7,hp,NA,4,3,5,,100001
200008,hi,200286,98,kmf,ne8,ne8,op,NA,5,7,0,,100001
200009,hi,200290,99,kmf,ne9,ne9,op,NA,3,3,12,,100001
200010,hi,200294,100,kmf,ne10,ne10,op,NA,3,1,0,,100001
200011,hi,200298,101,kmf,ne11,ne11,nt,NA,3,6,0,,100001
200012,hi,200302,102,kmf,ne12,ne12,nt,NA,1,5,0,,100001
200013,hi,200304,103,kmf,ne13,ne13,nt,NA,0,1,0,,100001
200014,hi,200308,104,kmf,ne14,ne14,op,NA,4,12,0,,100001
200015,hi,200312,105,kmf,ne15,ne15,nt,NA,0,4,0,,100001
200016,low,200330,114,kmf,ne24,ne24,op,NA,4,3,0,,100001
200017,low,200334,115,kmf,ne25,ne25,op,NA,4,7,0,,100001
200018,low,200336,116,kmf,ne26,ne26,hp,NA,3,2,1,,100001
200019,low,200338,117,kmf,ne27,ne27,nt,NA,1,2,0,,100001
200020,low,200340,118,kmf,ne28,ne28,op,NA,3,7,0,,100001
200021,low,200314,106,kmf,ne16,ne16,nt,NA,0,2,0,,100001
200022,low,200316,107,kmf,ne17,ne17,op,NA,1,1,0,,100001
200023,low,200318,108,kmf,ne18,ne18,hp,NA,3,3,0,,100001
200024,low,200320,109,kmf,ne19,ne19,hp,NA,10,6,0,,100001
200025,low,200322,110,kmf,ne20,ne20,nt,NA,0,5,9,,100001
200026,low,200324,111,kmf,ne21,ne21,op,NA,1,5,0,,100001
200027,low,200326,112,kmf,ne22,ne22,nt,NA,2,6,0,,100001
200028,low,200328,113,kmf,ne23,ne23,hp,NA,3,4,0,,100001
200029,low,200342,119,kmf,ne29,ne29,nt,NA,0,0,0,,100001
200030,low,200344,120,kmf,ne30,ne30,hp,NA,6,7,2,,100001
200031,hi,200348,121,adr,ru1,ru1,nt,NA,1,2,0,,100002
200032,hi,200352,122,adr,ru2,ru2,hp,NA,3,5,0,,100002
200033,hi,200356,123,adr,ru3,ru3,nt,NA,1,1,0,,100002
200034,hi,200360,124,adr,ru4,ru4,nt,NA,1,5,4,,100002
200035,hi,200364,125,adr,ru5,ru5,hp,NA,0,3,0,,100002
200036,hi,200365,126,adr,ru6,ru6,hp,NA,8,16,12,,100002
200037,hi,200369,127,adr,ru7,ru7,hp,NA,2,12,5,,100002
200038,hi,200373,128,adr,ru8,ru8,op,NA,1,1,0,,100002
200039,hi,200377,129,adr,ru9,ru9,op,NA,3,2,2,,100002
200040,hi,200381,130,adr,ru10,ru10,op,NA,4,4,3,,100002
200041,hi,200385,131,adr,ru11,ru11,nt,NA,0,3,0,,100002
200042,hi,200389,132,adr,ru12,ru12,op,NA,3,3,0,,100002
200043,hi,200393,133,adr,ru13,ru13,hp,NA,8,3,0,,100002
200044,hi,200397,134,adr,ru14,ru14,nt,NA,1,0,0,,100002
200045,hi,200399,135,adr,ru15,ru15,op,NA,4,5,2,,100002
200046,low,200419,144,adr,ru24,ru24,hp,NA,2,4,0,,100002
200047,low,200421,145,adr,ru25,ru25,hp,NA,1,0,0,,100002
200048,low,200423,146,adr,ru26,ru26,hp,NA,4,3,0,,100002
200049,low,200425,147,adr,ru27,ru27,hp,NA,4,3,5,,100002
200050,low,200429,148,adr,ru28,ru28,nt,NA,0,3,3,,100002
200051,low,200403,136,adr,ru16,ru16,nt,NA,2,1,3,,100002
200052,low,200405,137,adr,ru17,ru17,op,NA,2,2,9,,100002
200053,low,200407,138,adr,ru18,ru18,nt,NA,1,2,1,,100002
200054,low,200409,139,adr,ru19,ru19,nt,NA,1,4,0,,100002
200055,low,200411,140,adr,ru20,ru20,op,NA,1,2,1,,100002
200056,low,200413,141,adr,ru21,ru21,nt,NA,2,0,12,,100002
200057,low,200415,142,adr,ru22,ru22,op,NA,9,12,0,,100002
200058,low,200417,143,adr,ru23,ru23,hp,NA,4,3,0,,100002
200059,low,200431,149,adr,ru29,ru29,op,NA,4,8,10,,100002
200060,low,200433,150,adr,ru30,ru30,op,NA,2,3,2,,100002
200061,hi,200520,181,adr,st1,st1,op,NA,4,5,5,,100003
200062,hi,200524,182,kmf,st2,st2,hp,NA,3,7,0,,100003
200063,hi,200528,183,kmf,st3,st3,nt,NA,1,3,0,,100003
200064,hi,200532,184,kmf,st4,st4,hp,NA,2,5,3,,100003
200065,hi,200536,185,kmf,st5,st5,hp,NA,0,10,0,,100003
200066,hi,200540,186,kmf,st6,st6,op,NA,0,13,0,,100003
200067,hi,200544,187,kmf,st7,st7,op,NA,3,3,0,,100003
200068,hi,200548,188,kmf,st8,st8,nt,NA,1,3,0,,100003
200069,hi,200550,189,kmf,st9,st9,hp,NA,7,17,0,,100003
200070,hi,200554,190,kmf,st10,st10,nt,NA,0,4,0,,100003
200071,hi,200556,191,kmf,st11,st11,op,NA,6,11,0,,100003
200072,hi,200560,192,kmf,st12,st12,nt,NA,0,6,0,,100003
200073,hi,200562,193,kmf,st13,st13,op,NA,5,15,0,,100003
200074,hi,200566,194,kmf,st14,st14,nt,NA,0,2,0,,100003
200075,hi,200568,195,kmf,st15,st15,hp,NA,4,6,0,,100003
200076,low,200594,204,kmf,st24,st24,nt,NA,0,4,0,,100003
200077,low,200596,205,kmf,st25,st25,op,NA,5,2,0,,100003
200078,low,200600,206,kmf,st26,st26,op,NA,3,4,7,,100003
200079,low,200602,207,kmf,st27,st27,nt,NA,4,5,1,,100003
200080,low,200604,208,kmf,st28,st28,op,NA,4,2,6,,100003
200081,low,200572,196,kmf,st16,st16,hp,NA,5,7,0,,100003
200082,low,200576,197,kmf,st17,st17,hp,NA,4,7,0,,100003
200083,low,200578,198,kmf,st18,st18,op,NA,8,14,0,,100003
200084,low,200582,199,kmf,st19,st19,op,NA,6,6,1,,100003
200085,low,200584,200,kmf,st20,st20,nt,NA,1,3,0,,100003
200086,low,200586,201,kmf,st21,st21,nt,NA,2,1,0,,100003
200087,low,200588,202,kmf,st22,st22,hp,NA,1,4,0,,100003
200088,low,200590,203,kmf,st23,st23,hp,NA,6,5,0,,100003
200089,low,200606,209,kmf,st29,st29,nt,NA,4,5,0,,100003
200090,low,200608,210,kmf,st30,st30,hp,NA,0,5,0,,100003
200091,hi,200610,211,adr,wo1,wo1,op,NA,1,3,16,,100004
200092,hi,200614,212,adr,wo2,wo2,nt,NA,1,1,0,,100004
200093,hi,200618,213,adr,wo3,wo3,hp,NA,3,6,2,,100004
200094,hi,200622,214,adr,wo4,wo4,nt,NA,1,1,1,,100004
200095,hi,200624,215,adr,wo5,wo5,hp,NA,5,4,6,,100004
200096,hi,200628,216,adr,wo6,wo6,hp,NA,7,8,3,,100004
200097,hi,200632,217,adr,wo7,wo7,nt,NA,2,3,0,,100004
200098,hi,200636,218,adr,wo8,wo8,hp,NA,2,2,0,,100004
200099,hi,200640,219,adr,wo9,wo9,nt,NA,0,2,9,,100004
200100,hi,200644,220,adr,wo10,wo10,hp,NA,3,2,0,,100004
200101,hi,200648,221,adr,wo11,wo11,nt,NA,0,0,7,,100004
200102,hi,200650,222,adr,wo12,wo12,op,NA,1,3,0,,100004
200103,hi,200654,223,adr,wo13,wo13,op,NA,3,4,3,,100004
200104,hi,200658,224,adr,wo14,wo14,op,NA,2,4,0,,100004
200105,hi,200662,225,adr,wo15,wo15,op,NA,0,2,0,,100004
200106,low,200683,234,adr,wo24,wo24,op,NA,2,0,3,replaced,100004
200107,low,200685,235,adr,wo25,wo25,op,NA,2,1,5,,100004
200108,low,200687,236,adr,wo26,wo26,op,NA,2,0,7,,100004
200109,low,200689,237,adr,wo27,wo27,op,NA,1,5,4,,100004
200110,low,200691,238,adr,wo28,wo28,hp,NA,2,2,2,,100004
200111,low,200664,226,adr,wo16,wo16,hp,NA,5,15,8,,100004
200112,low,200668,227,adr,wo17,wo17,nt,NA,1,5,15,accidentally marked;herbivory,100004
200113,low,200670,228,adr,wo18,wo18,hp,NA,2,7,6,,100004
200114,low,200672,229,adr,wo19,wo19,nt,NA,0,1,6,,100004
200115,low,200674,230,adr,wo20,wo20,nt,NA,0,0,0,herbivory,100004
200116,low,200675,231,adr,wo21,wo21,nt,NA,0,1,0,herbivory,100004
200117,low,200677,232,adr,wo22,wo22,hp,NA,0,15,0,,100004
200118,low,200681,233,adr,wo23,wo23,nt,NA,0,0,3,herbivory,100004
200119,low,200693,239,adr,wo29,wo29,hp,NA,3,3,1,bombus visit,100004
200120,low,200697,240,adr,wo30,wo30,op,NA,1,3,10,,100004
200121,hi,200435,151,chs,si1,si1,nt,NA,0,1,0,,100005
200122,hi,200437,152,chs,si2,si2,nt,NA,0,1,3,,100005
200123,hi,200439,153,chs,si3,si3,hp,NA,0,26,7,,100005
200124,hi,200443,154,chs,si4,si4,op,NA,2,7,15,,100005
200125,hi,200447,155,chs,si5,si5,op,NA,5,8,7,,100005
200126,hi,200451,156,chs,si6,si6,hp,NA,4,2,0,,100005
